,Player,Pos,FantasyPts,Att,Cmp,Yds,PassTD,Int,2Pt,RushAtt,RushYds,RushTDs,2Pt.1,Rec,RecYds,RecTD,2Pt.2,FL,TD,CalcFantasyPoints,FantasyVariance,Name
141,"Shane Vereen, NYG",RB,25,0,0,0,0,0,0,33,158,1,0,11,94,0,0,2,0,33.3,0.7507507507507508,"vereen, shane"
142,"DuJuan Harris, SF",RB,24,0,0,0,0,0,0,38,138,0,0,8,115,1,0,2,0,24.0,1.0,"harris, dujuan"
143,"Kenjon Barner, Phi",RB,24,0,0,0,0,0,0,27,129,2,0,5,42,0,0,0,0,26.1,0.9195402298850575,"barner, kenjon"
144,"Orleans Darkwa, NYG",RB,22,0,0,0,0,0,0,30,111,2,0,2,12,0,0,0,0,30.6,0.7189542483660131,"darkwa, orleans"
145,"Kapri Bibbs, Den",RB,22,0,0,0,0,0,0,29,129,0,0,2,75,1,0,0,0,27.3,0.8058608058608059,"bibbs, kapri"
146,"Alex Collins, Sea",RB,20,0,0,0,0,0,0,31,125,1,0,11,84,0,0,1,0,24.2,0.8264462809917356,"collins, alex"
147,"Ameer Abdullah, Det",RB,20,0,0,0,0,0,0,18,101,0,0,5,57,1,0,0,0,19.6,1.0204081632653061,"abdullah, ameer"
148,"Danny Woodhead, SD",RB,19,0,0,0,0,0,0,19,116,0,0,6,35,1,0,0,0,24.8,0.7661290322580645,"woodhead, danny"
149,"Mike Tolbert, Car",RB,19,0,0,0,0,0,0,35,114,0,0,10,72,1,0,0,0,26.7,0.7116104868913858,"tolbert, mike"
150,"Ronnie Hillman, Min",RB,19,0,0,0,0,0,0,41,131,0,0,7,93,0,0,0,0,20.1,0.9452736318407959,"hillman, ronnie"
151,"Kenneth Farrow, SD",RB,19,0,0,0,0,0,0,60,192,0,0,13,70,0,0,1,0,34.5,0.5507246376811594,"farrow, kenneth"
152,"Bobby Rainey, NYG",RB,17,0,0,0,0,0,0,17,63,0,0,20,153,0,0,1,0,18.5,0.918918918918919,"rainey, bobby"
153,"Lance Dunbar, Dal",RB,17,0,0,0,0,0,0,9,31,1,0,16,122,0,0,0,0,18.1,0.9392265193370165,"dunbar, lance"
154,"Reggie Bush, Buf",RB,16,0,0,0,0,0,0,12,-3,1,0,7,90,0,1,0,0,6.8,2.3529411764705883,"bush, reggie"
155,"Terron Ward, Atl",RB,15,0,0,0,0,0,0,31,151,0,0,1,11,0,0,0,0,32.5,0.46153846153846156,"ward, terron"
156,"Chris Johnson, Ari",RB,14,0,0,0,0,0,0,25,95,1,0,0,0,0,0,0,0,24.9,0.5622489959839357,"johnson, chris"
157,"Jonathan Grimes, Hou",RB,14,0,0,0,0,0,0,23,105,0,0,13,94,0,0,0,0,10.3,1.3592233009708736,"grimes, jonathan"
158,"Mack Brown, Was",RB,14,0,0,0,0,0,0,8,82,1,0,1,-2,0,0,0,0,23.3,0.6008583690987124,"brown, mack"
159,"Benny Cunningham, LA",RB,13,0,0,0,0,0,0,21,101,0,0,16,91,0,0,0,0,135.8,0.09572901325478644,"cunningham, benny"
160,"Jordy Nelson, GB",WR,201,0,0,0,0,0,0,0,0,0,0,97,"1,257",14,0,1,0,216.1,0.9301249421564091,"nelson, jordy"
161,"Mike Evans, TB",WR,200,0,0,0,0,0,0,0,0,0,0,96,"1,321",12,2,0,0,200.4,0.998003992015968,"evans, mike"
162,"Antonio Brown, Pit",WR,193,0,0,0,0,0,0,3,9,0,0,106,"1,284",12,0,0,0,209.6,0.9208015267175573,"brown, antonio"
163,"Odell Beckham Jr., NYG",WR,189,0,0,0,0,0,0,1,9,0,0,101,"1,367",10,0,1,0,205.7,0.9188138065143413,beckham odell
164,"T.Y. Hilton, Ind",WR,176,0,0,0,0,0,0,0,0,0,0,91,"1,448",6,1,0,0,176.9,0.994912379875636,"hilton, t.y."
165,"Julio Jones, Atl",WR,170,0,0,0,0,0,0,0,0,0,0,83,"1,409",6,0,0,0,135.7,1.2527634487840826,"jones, julio"
166,"Davante Adams, GB",WR,167,0,0,0,0,0,0,0,0,0,0,75,997,12,1,1,0,185.7,0.8992999461497039,"adams, davante"
167,"Michael Thomas, NO",WR,159,0,0,0,0,0,0,0,0,0,0,92,"1,137",9,0,2,0,171.3,0.9281961471103327,"thomas, michael"
168,"Brandin Cooks, NO",WR,159,0,0,0,0,0,0,6,30,0,0,78,"1,173",8,0,0,0,163.8,0.9706959706959706,"cooks, brandin"
169,"Doug Baldwin, Sea",WR,154,1,1,15,1,0,0,3,2,0,0,94,"1,128",7,0,0,0,150.0,1.0266666666666666,"baldwin, doug"
170,"Michael Crabtree, Oak",WR,144,0,0,0,0,0,0,0,0,0,0,89,"1,003",8,1,0,0,153.9,0.935672514619883,"crabtree, michael"
171,"Tyrell Williams, SD",WR,142,0,0,0,0,0,0,0,0,0,0,69,"1,059",7,0,0,0,136.5,1.0402930402930404,"williams, tyrell"
172,"Rishard Matthews, Ten",WR,142,0,0,0,0,0,0,0,0,0,0,65,945,9,0,1,0,169.3,0.8387477849970466,"matthews, rishard"
173,"Amari Cooper, Oak",WR,139,0,0,0,0,0,0,1,0,0,0,83,"1,153",5,2,0,0,138.3,1.0050614605929138,"cooper, amari"
174,"Demaryius Thomas, Den",WR,132,0,0,0,0,0,0,0,0,0,0,90,"1,083",5,1,2,0,132.3,0.9977324263038548,"thomas, demaryius"
175,"Larry Fitzgerald, Ari",WR,132,1,0,0,0,0,0,2,5,0,0,107,"1,023",6,0,1,0,150.1,0.8794137241838774,"fitzgerald, larry"
176,"Jarvis Landry, Mia",WR,130,1,0,0,0,0,0,5,17,0,0,94,"1,136",4,1,2,0,105.3,1.2345679012345678,"landry, jarvis"
177,"Dez Bryant, Dal",WR,129,1,1,10,1,0,0,0,0,0,0,50,796,8,0,1,0,149.1,0.8651911468812877,"bryant, dez"
178,"Kelvin Benjamin, Car",WR,129,0,0,0,0,0,0,0,0,0,0,63,941,7,0,1,0,142.7,0.9039943938332166,"benjamin, kelvin"
179,"Terrelle Pryor, Cle",WR,127,9,5,41,0,0,0,8,21,1,0,77,"1,007",4,1,0,0,95.5,1.3298429319371727,"pryor, terrelle"
180,"Tyreek Hill, KC",WR,127,0,0,0,0,0,0,24,267,3,0,61,593,6,0,1,0,188.4,0.6740976645435244,"hill, tyreek"
181,"Golden Tate, Det",WR,125,0,0,0,0,0,0,10,4,0,0,91,"1,077",4,1,1,0,127.6,0.9796238244514107,"tate, golden"
182,"Emmanuel Sanders, Den",WR,125,0,0,0,0,0,0,1,4,0,0,79,"1,032",5,0,0,0,132.1,0.9462528387585163,"sanders, emmanuel"
183,"Mike Wallace, Bal",WR,124,0,0,0,0,0,0,5,31,0,0,72,"1,017",4,1,0,0,137.7,0.9005083514887438,"wallace, mike"
184,"Julian Edelman, NE",WR,124,0,0,0,0,0,0,12,57,0,0,98,"1,106",3,1,2,0,123.9,1.0008071025020178,"edelman, julian"
185,"Kenny Britt, LA",WR,122,0,0,0,0,0,0,0,0,0,0,68,"1,002",5,0,1,0,126.7,0.962904498816101,"britt, kenny"
186,"Adam Thielen, Min",WR,121,0,0,0,0,0,0,2,15,0,0,69,967,5,0,1,0,104.1,1.1623439000960616,"thielen, adam"
187,"Kenny Stills, Mia",WR,121,0,0,0,0,0,0,0,0,0,0,42,726,9,0,0,0,142.3,0.8503162333099086,"stills, kenny"
188,"Allen Robinson, Jax",WR,118,0,0,0,0,0,0,0,0,0,0,73,883,6,1,0,0,136.5,0.8644688644688645,"robinson, allen"
189,"DeSean Jackson, Was",WR,118,0,0,0,0,0,0,0,0,0,0,56,"1,005",4,0,0,0,108.7,1.0855565777368905,"jackson, desean"
190,"Jamison Crowder, Was",WR,117,0,0,0,0,0,0,2,-2,0,0,67,847,7,0,1,0,138.2,0.8465991316931983,"crowder, jamison"
191,"A.J. Green, Cin",WR,116,0,0,0,0,0,0,0,0,0,0,66,964,4,0,0,0,110.2,1.0526315789473684,"green, a.j."
192,"Brandon LaFell, Cin",WR,115,0,0,0,0,0,0,1,-2,0,0,64,862,6,0,0,0,125.3,0.9177972865123704,"lafell, brandon"
193,"Willie Snead, NO",WR,114,1,1,50,1,0,0,0,0,0,0,72,895,4,0,0,0,103.3,1.1035818005808327,"snead, willie"
194,"Sterling Shepard, NYG",WR,114,0,0,0,0,0,0,3,31,0,0,65,683,8,0,0,0,155.2,0.7345360824742269,"shepard, sterling"
195,"Pierre Garcon, Was",WR,113,0,0,0,0,0,0,0,0,0,0,79,"1,041",3,0,0,0,113.4,0.9964726631393298,"garcon, pierre"
196,"DeAndre Hopkins, Hou",WR,112,0,0,0,0,0,0,0,0,0,0,78,954,4,0,0,0,112.8,0.9929078014184397,"hopkins, deandre"
197,"Cameron Meredith, Chi",WR,111,1,1,2,1,0,0,1,6,0,0,66,888,4,0,2,0,123.8,0.8966074313408724,"meredith, cameron"
198,"Marvin Jones, Det",WR,110,0,0,0,0,0,0,1,3,0,0,55,930,4,0,0,0,104.2,1.055662188099808,"jones, marvin"
199,"Steve Smith, Bal",WR,107,0,0,0,0,0,0,0,0,0,0,70,799,5,2,0,0,115.7,0.9248055315471045,"smith, steve"
200,"Quincy Enunwa, NYJ",WR,105,0,0,0,0,0,0,1,12,0,0,58,857,4,0,0,0,108.5,0.967741935483871,"enunwa, quincy"
201,"Cole Beasley, Dal",WR,105,1,0,0,0,0,0,1,7,0,0,75,833,5,0,0,0,115.8,0.9067357512953368,"beasley, cole"
